beta (β), betay (β_y), and betaz (β_z) 
Latitude is planetocentric and pressure unit is mbar
Unit of beta, betay, and betaz is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude     beta      betay     betaz
  338.47  -30.00      4.878     3.677     0.970
  338.47  -29.00      4.918     2.188     0.485
  338.47  -28.00      4.957     4.615    -0.104
  338.47  -27.00      4.994     2.406    -0.945
  338.47  -26.00      5.030    -4.212    -1.887
  338.47  -25.00      5.065    -5.250    -2.241
  338.47  -24.00      5.098    -2.847    -1.817
  338.47  -23.00      5.129    -1.423    -1.405
  338.47  -22.00      5.160    -0.541    -1.005
  338.47  -21.00      5.188    -1.652    -0.493
  338.47  -20.00      5.216    -1.332    -0.248
  338.47  -19.00      5.242    -1.853    -0.061
  338.47  -18.00      5.266     0.355     0.348
  338.47  -17.00      5.289    -0.005     1.152
  338.47  -16.00      5.311     1.763     1.694
  338.47  -15.00      5.331    -1.401     2.047
  338.47  -14.00      5.350    -0.799     2.355
  338.47  -13.00      5.368    -0.594     2.354
  338.47  -12.00      5.384     2.108     1.639
  338.47  -11.00      5.399     4.355     0.454
  338.47  -10.00      5.413     4.759    -0.916
  338.47   -9.00      5.425     4.393    -2.215
  338.47   -8.00      5.436     5.010    -3.333
  338.47   -7.00      5.446     3.293    -4.328
  338.47   -6.00      5.454     2.692    -5.260
  338.47   -5.00      5.461    -2.097    -5.884
  338.47   -4.00      5.467    -5.684    -5.198
  338.47   -3.00      5.472    -5.370    -3.407
  338.47   -2.00      5.475    -3.226    -1.497
  338.47   -1.00      5.477     2.445    -0.310
  338.47    0.00      5.477    11.834    -0.000
  338.47    1.00      5.477     3.205    -0.271
  338.47    2.00      5.475    -8.105    -1.168
  338.47    3.00      5.472    -6.144    -2.397
  338.47    4.00      5.467    -0.844    -3.016
  338.47    5.00      5.461    -0.812    -3.371
  338.47    6.00      5.454     2.681    -2.952
  338.47    7.00      5.446     5.460    -2.501
  338.47    8.00      5.436     5.271    -1.835
  338.47    9.00      5.425     3.300    -1.094
  338.47   10.00      5.413     3.734    -0.061
  338.47   11.00      5.399     4.201     1.416
  338.47   12.00      5.384     1.226     2.729
  338.47   13.00      5.368     3.006     3.017
  338.47   14.00      5.350     0.384     3.017
  338.47   15.00      5.331    -3.968     2.676
  338.47   16.00      5.311    -0.298     2.100
  338.47   17.00      5.289    -1.496     1.977
  338.47   18.00      5.266     0.154     1.494
  338.47   19.00      5.242    -0.136     1.515
  338.47   20.00      5.216    -0.263     2.306
  338.47   21.00      5.188    -0.947     3.631
  338.47   22.00      5.160    -2.222     4.915
  338.47   23.00      5.129    -2.139     5.556
  338.47   24.00      5.098    -2.135     4.795
  338.47   25.00      5.065    -1.945     3.064
  338.47   26.00      5.030    -1.785     2.192
  338.47   27.00      4.994     1.754     2.439
  338.47   28.00      4.957     1.801     3.884
  338.47   29.00      4.918     2.092     5.363
  338.47   30.00      4.878     4.773     6.384
  338.47   31.00      4.836     0.346     7.443
  338.47   32.00      4.792    -3.825     7.366
  338.47   33.00      4.747    -5.439     5.117
  338.47   34.00      4.701    -7.232     0.411
  338.47   35.00      4.653    -6.070    -6.049
  338.47   36.00      4.603    -6.507   -12.964
  338.47   37.00      4.552    -6.802   -21.280
  338.47   38.00      4.500    -4.919   -29.868
  338.47   39.00      4.446     0.466   -36.147
  338.47   40.00      4.390     7.510   -38.100
  338.47   41.00      4.333    12.866   -33.885
  338.47   42.00      4.274    15.990   -26.666
  338.47   43.00      4.214     9.162   -21.689
  338.47   44.00      4.152     1.070   -20.133
  338.47   45.00      4.089    -5.289   -19.047
  338.47   46.00      4.024    -1.436   -18.008
  338.47   47.00      3.958    -6.535   -13.735
  338.47   48.00      3.890    -3.156    -9.991
  338.47   49.00      3.821    -5.642    -6.596
  338.47   50.00      3.750    -4.946    -6.372
  338.47   51.00      3.678    -5.303    -7.934
  338.47   52.00      3.604    -4.337   -10.065
  338.47   53.00      3.529    -1.689   -12.594
  338.47   54.00      3.453     2.005   -16.114
  338.47   55.00      3.375     5.183   -19.249
  338.47   56.00      3.295     7.327   -19.543
  338.47   57.00      3.215     3.872   -15.869
  338.47   58.00      3.133    -2.347   -11.346
  338.47   59.00      3.049    -1.500    -7.994
  338.47   60.00      2.965     1.412    -3.059
  338.47   61.00      2.879     5.677     4.809
  338.47   62.00      2.792     9.870    15.003
  338.47   63.00      2.703     4.450    25.450
  338.47   64.00      2.614    -4.158    29.860
  338.47   65.00      2.523    -1.776    25.916
  338.47   66.00      2.432    -3.233    17.701
  338.47   67.00      2.339    -4.795     9.889
  338.47   68.00      2.245    -2.757     0.858
  338.47   69.00      2.150    -3.714    -3.350
  338.47   70.00      2.054    -4.112    -2.668
  338.47   71.00      1.957    -5.955     4.417
  338.47   72.00      1.860    -5.092    13.400
  338.47   73.00      1.761    -0.156    20.679
  338.47   74.00      1.662     4.306    23.762
  338.47   75.00      1.562    11.203    21.146
  338.47   76.00      1.461    13.748    16.436
  338.47   77.00      1.360    -1.009    11.762
  338.47   78.00      1.257    -7.714     5.383
  338.47   79.00      1.155    -3.895    -1.032
  338.47   80.00      1.052    -6.968    -3.080
  338.47   81.00      0.948    -6.071    -1.337
  338.47   82.00      0.844    -1.950     2.896
  338.47   83.00      0.739     1.234     7.585
  338.47   84.00      0.634     6.681    11.647
  338.47   85.00      0.529    13.506    13.568
  338.47   86.00      0.423    11.872    13.940
  338.47   87.00      0.318    12.560    13.524
  338.47   88.00      0.212     6.362    17.358
  338.47   89.00      0.106     0.164    14.659
  338.47   90.00      0.000     0.164     1.204

Pressure level 295.5954 mbar
pressure latitude     beta      betay     betaz
  295.60  -90.00      0.000     1.539    -0.358
  295.60  -89.00      0.106     1.539   -19.985
  295.60  -88.00      0.212     3.270    -9.543
  295.60  -87.00      0.318     3.213    -5.751
  295.60  -86.00      0.423     3.156    -5.177
  295.60  -85.00      0.529     1.725    -5.384
  295.60  -84.00      0.634     2.685    -5.116
  295.60  -83.00      0.739    -3.936    -5.793
  295.60  -82.00      0.844    -3.828    -5.697
  295.60  -81.00      0.948    -2.606    -4.843
  295.60  -80.00      1.051    -3.865    -3.438
  295.60  -79.00      1.155    -3.252    -1.963
  295.60  -78.00      1.257    -3.236     0.713
  295.60  -77.00      1.359    -2.835     3.273
  295.60  -76.00      1.461    -4.148     5.459
  295.60  -75.00      1.562    -5.477     6.913
  295.60  -74.00      1.662    -4.987     6.030
  295.60  -73.00      1.761    -0.514     2.290
  295.60  -72.00      1.860     4.227     0.874
  295.60  -71.00      1.957    12.476     1.828
  295.60  -70.00      2.054    14.997     4.125
  295.60  -69.00      2.150     1.794     5.527
  295.60  -68.00      2.245    -3.381     4.601
  295.60  -67.00      2.339    -2.161     1.520
  295.60  -66.00      2.431    -5.792    -1.505
  295.60  -65.00      2.523    -3.835    -3.736
  295.60  -64.00      2.614    -4.080    -4.421
  295.60  -63.00      2.703    -2.863    -3.115
  295.60  -62.00      2.792    -1.983    -1.072
  295.60  -61.00      2.879    -4.828    -0.153
  295.60  -60.00      2.964    -7.492     0.228
  295.60  -59.00      3.049    -6.417     0.756
  295.60  -58.00      3.132    -4.597     1.191
  295.60  -57.00      3.214     4.591     1.929
  295.60  -56.00      3.295    18.711     3.151
  295.60  -55.00      3.374    13.536     4.913
  295.60  -54.00      3.452     5.211     7.038
  295.60  -53.00      3.529     4.859     8.617
  295.60  -52.00      3.604    -0.076     7.461
  295.60  -51.00      3.678    -3.839     4.396
  295.60  -50.00      3.750    -5.859     2.006
  295.60  -49.00      3.821    -7.462    -0.696
  295.60  -48.00      3.890    -7.890    -3.291
  295.60  -47.00      3.958    -7.292    -3.761
  295.60  -46.00      4.024    -3.972    -2.500
  295.60  -45.00      4.089     1.864    -0.880
  295.60  -44.00      4.152     8.415     0.803
  295.60  -43.00      4.214    13.315     2.672
  295.60  -42.00      4.274    12.996     4.123
  295.60  -41.00      4.333     5.618     4.752
  295.60  -40.00      4.390    -3.070     4.262
  295.60  -39.00      4.445    -3.060     1.932
  295.60  -38.00      4.499    -5.335    -0.788
  295.60  -37.00      4.552    -4.633    -2.898
  295.60  -36.00      4.603    -5.378    -3.868
  295.60  -35.00      4.653    -5.463    -3.083
  295.60  -34.00      4.700    -5.680    -1.295
  295.60  -33.00      4.747    -3.739     0.381
  295.60  -32.00      4.792    -1.240     1.880
  295.60  -31.00      4.835     1.887     2.427
  295.60  -30.00      4.877     3.629     1.785
  295.60  -29.00      4.918     2.107     1.061
  295.60  -28.00      4.956     4.473     0.241
  295.60  -27.00      4.994     2.242    -0.740
  295.60  -26.00      5.030    -4.251    -1.699
  295.60  -25.00      5.064    -5.185    -2.200
  295.60  -24.00      5.097    -2.806    -2.151
  295.60  -23.00      5.129    -1.400    -2.016
  295.60  -22.00      5.159    -0.535    -1.801
  295.60  -21.00      5.188    -1.635    -1.545
  295.60  -20.00      5.215    -1.325    -1.499
  295.60  -19.00      5.241    -1.798    -1.495
  295.60  -18.00      5.266     0.398    -1.300
  295.60  -17.00      5.289     0.169    -0.618
  295.60  -16.00      5.310     1.960     0.116
  295.60  -15.00      5.331    -1.085     0.665
  295.60  -14.00      5.350    -0.482     0.972
  295.60  -13.00      5.367    -0.382     0.898
  295.60  -12.00      5.384     2.104     0.318
  295.60  -11.00      5.399     4.243    -0.503
  295.60  -10.00      5.412     4.721    -1.394
  295.60   -9.00      5.425     4.458    -2.269
  295.60   -8.00      5.436     4.944    -3.145
  295.60   -7.00      5.445     3.246    -3.910
  295.60   -6.00      5.454     2.624    -4.456
  295.60   -5.00      5.461    -3.057    -4.697
  295.60   -4.00      5.467    -6.570    -3.861
  295.60   -3.00      5.471    -6.237    -2.396
  295.60   -2.00      5.474    -3.607    -1.025
  295.60   -1.00      5.476     3.880    -0.208
  295.60    0.00      5.477    15.329    -0.000
  295.60    1.00      5.476     2.496    -0.207
  295.60    2.00      5.474    -8.467    -0.924
  295.60    3.00      5.471    -8.629    -2.002
  295.60    4.00      5.467    -0.803    -2.624
  295.60    5.00      5.461    -1.570    -3.111
  295.60    6.00      5.454     2.579    -2.742
  295.60    7.00      5.445     5.250    -2.281
  295.60    8.00      5.436     5.254    -1.572
  295.60    9.00      5.425     3.289    -0.837
  295.60   10.00      5.412     4.017     0.032
  295.60   11.00      5.399     4.636     0.995
  295.60   12.00      5.384     1.710     1.601
  295.60   13.00      5.367     3.235     1.453
  295.60   14.00      5.350     0.635     1.215
  295.60   15.00      5.331    -3.728     0.970
  295.60   16.00      5.310    -0.224     0.786
  295.60   17.00      5.289    -1.290     1.037
  295.60   18.00      5.266     0.140     0.921
  295.60   19.00      5.241    -0.243     0.881
  295.60   20.00      5.215    -0.396     1.276
  295.60   21.00      5.188    -1.035     2.122
  295.60   22.00      5.159    -2.226     3.140
  295.60   23.00      5.129    -2.072     3.876
  295.60   24.00      5.097    -2.049     3.747
  295.60   25.00      5.064    -1.934     2.668
  295.60   26.00      5.030    -1.837     1.847
  295.60   27.00      4.994     1.628     1.858
  295.60   28.00      4.956     1.706     2.920
  295.60   29.00      4.918     2.032     4.321
  295.60   30.00      4.877     4.728     5.248
  295.60   31.00      4.835     0.395     5.766
  295.60   32.00      4.792    -3.731     5.512
  295.60   33.00      4.747    -5.337     3.877
  295.60   34.00      4.700    -7.150     0.776
  295.60   35.00      4.653    -6.012    -3.133
  295.60   36.00      4.603    -6.440    -7.469
  295.60   37.00      4.552    -6.779   -12.914
  295.60   38.00      4.499    -4.938   -18.399
  295.60   39.00      4.445     0.385   -22.362
  295.60   40.00      4.390     7.354   -23.408
  295.60   41.00      4.333    12.715   -20.203
  295.60   42.00      4.274    15.904   -15.229
  295.60   43.00      4.214     9.150   -12.697
  295.60   44.00      4.152     1.108   -12.635
  295.60   45.00      4.089    -5.218   -12.404
  295.60   46.00      4.024    -1.427   -11.632
  295.60   47.00      3.958    -6.474    -8.601
  295.60   48.00      3.890    -3.127    -5.953
  295.60   49.00      3.821    -5.620    -4.053
  295.60   50.00      3.750    -4.959    -3.565
  295.60   51.00      3.678    -5.280    -3.089
  295.60   52.00      3.604    -4.291    -2.877
  295.60   53.00      3.529    -1.670    -3.665
  295.60   54.00      3.452     1.977    -5.985
  295.60   55.00      3.374     5.139    -8.590
  295.60   56.00      3.295     7.301    -9.458
  295.60   57.00      3.214     3.864    -8.406
  295.60   58.00      3.132    -2.356    -6.611
  295.60   59.00      3.049    -1.528    -4.460
  295.60   60.00      2.964     1.398    -0.655
  295.60   61.00      2.879     5.694     4.512
  295.60   62.00      2.792     9.895     9.375
  295.60   63.00      2.703     4.472    12.408
  295.60   64.00      2.614    -4.146    11.329
  295.60   65.00      2.523    -1.787     6.199
  295.60   66.00      2.431    -3.223    -0.113
  295.60   67.00      2.339    -4.801    -5.097
  295.60   68.00      2.245    -2.775    -8.816
  295.60   69.00      2.150    -3.720    -7.901
  295.60   70.00      2.054    -4.111    -4.369
  295.60   71.00      1.957    -5.946     1.266
  295.60   72.00      1.860    -5.066     7.578
  295.60   73.00      1.761    -0.128    13.113
  295.60   74.00      1.662     4.301    15.810
  295.60   75.00      1.562    11.151    14.712
  295.60   76.00      1.461    13.696    11.608
  295.60   77.00      1.359    -1.001     8.371
  295.60   78.00      1.257    -7.696     4.568
  295.60   79.00      1.155    -3.885     1.366
  295.60   80.00      1.051    -6.918     1.265
  295.60   81.00      0.948    -6.017     2.814
  295.60   82.00      0.844    -1.922     4.660
  295.60   83.00      0.739     1.209     6.094
  295.60   84.00      0.634     6.639     7.763
  295.60   85.00      0.529    13.466     9.549
  295.60   86.00      0.423    11.843    11.502
  295.60   87.00      0.318    12.536    12.477
  295.60   88.00      0.212     6.316    17.798
  295.60   89.00      0.106     0.095    14.487
  295.60   90.00      0.000     0.095     0.481

Pressure level 258.1457 mbar
pressure latitude     beta      betay     betaz
  258.15  -90.00      0.000     1.457    -0.271
  258.15  -89.00      0.106     1.457   -14.893
  258.15  -88.00      0.212     3.282    -6.974
  258.15  -87.00      0.318     3.220    -1.587
  258.15  -86.00      0.423     3.158     0.089
  258.15  -85.00      0.529     1.725     0.556
  258.15  -84.00      0.634     2.701    -0.407
  258.15  -83.00      0.739    -3.943    -3.100
  258.15  -82.00      0.843    -3.842    -5.014
  258.15  -81.00      0.948    -2.628    -5.294
  258.15  -80.00      1.051    -3.882    -4.476
  258.15  -79.00      1.155    -3.275    -3.170
  258.15  -78.00      1.257    -3.234    -0.450
  258.15  -77.00      1.359    -2.832     2.043
  258.15  -76.00      1.461    -4.132     4.399
  258.15  -75.00      1.562    -5.430     6.260
  258.15  -74.00      1.662    -4.943     6.170
  258.15  -73.00      1.761    -0.535     3.545
  258.15  -72.00      1.859     4.201     2.502
  258.15  -71.00      1.957    12.472     3.148
  258.15  -70.00      2.054    14.977     4.744
  258.15  -69.00      2.150     1.801     5.637
  258.15  -68.00      2.245    -3.361     4.774
  258.15  -67.00      2.338    -2.148     2.294
  258.15  -66.00      2.431    -5.781    -0.229
  258.15  -65.00      2.523    -3.852    -2.179
  258.15  -64.00      2.614    -4.116    -3.014
  258.15  -63.00      2.703    -2.888    -2.382
  258.15  -62.00      2.791    -1.971    -1.130
  258.15  -61.00      2.878    -4.795    -0.575
  258.15  -60.00      2.964    -7.461    -0.276
  258.15  -59.00      3.049    -6.384     0.545
  258.15  -58.00      3.132    -4.564     1.664
  258.15  -57.00      3.214     4.594     2.906
  258.15  -56.00      3.295    18.643     4.041
  258.15  -55.00      3.374    13.453     4.947
  258.15  -54.00      3.452     5.164     5.804
  258.15  -53.00      3.529     4.826     6.421
  258.15  -52.00      3.604    -0.116     5.643
  258.15  -51.00      3.677    -3.853     3.972
  258.15  -50.00      3.749    -5.773     2.564
  258.15  -49.00      3.820    -7.301     0.697
  258.15  -48.00      3.889    -7.724    -1.281
  258.15  -47.00      3.957    -7.207    -2.282
  258.15  -46.00      4.024    -3.968    -2.124
  258.15  -45.00      4.088     1.813    -1.335
  258.15  -44.00      4.152     8.292    -0.494
  258.15  -43.00      4.213    13.162     0.354
  258.15  -42.00      4.274    12.845     1.227
  258.15  -41.00      4.332     5.483     2.170
  258.15  -40.00      4.389    -3.054     2.902
  258.15  -39.00      4.445    -2.911     2.483
  258.15  -38.00      4.499    -5.217     1.048
  258.15  -37.00      4.552    -4.655    -0.794
  258.15  -36.00      4.603    -5.412    -1.922
  258.15  -35.00      4.652    -5.453    -1.356
  258.15  -34.00      4.700    -5.606     0.256
  258.15  -33.00      4.747    -3.621     1.714
  258.15  -32.00      4.791    -1.139     2.798
  258.15  -31.00      4.835     1.916     2.968
  258.15  -30.00      4.877     3.567     2.057
  258.15  -29.00      4.917     2.004     0.922
  258.15  -28.00      4.956     4.292    -0.241
  258.15  -27.00      4.994     2.040    -1.168
  258.15  -26.00      5.029    -4.281    -1.714
  258.15  -25.00      5.064    -5.082    -2.012
  258.15  -24.00      5.097    -2.754    -2.108
  258.15  -23.00      5.129    -1.368    -2.125
  258.15  -22.00      5.159    -0.526    -2.088
  258.15  -21.00      5.187    -1.633    -2.040
  258.15  -20.00      5.215    -1.325    -2.153
  258.15  -19.00      5.241    -1.716    -2.323
  258.15  -18.00      5.265     0.519    -2.342
  258.15  -17.00      5.288     0.421    -1.834
  258.15  -16.00      5.310     2.212    -1.011
  258.15  -15.00      5.330    -0.694    -0.311
  258.15  -14.00      5.349    -0.122    -0.004
  258.15  -13.00      5.367    -0.204    -0.096
  258.15  -12.00      5.383     2.039    -0.484
  258.15  -11.00      5.398     4.054    -0.971
  258.15  -10.00      5.412     4.635    -1.519
  258.15   -9.00      5.424     4.472    -2.147
  258.15   -8.00      5.435     4.767    -2.884
  258.15   -7.00      5.445     3.035    -3.468
  258.15   -6.00      5.453     2.164    -3.727
  258.15   -5.00      5.460    -4.203    -3.668
  258.15   -4.00      5.466    -7.411    -2.799
  258.15   -3.00      5.471    -6.981    -1.643
  258.15   -2.00      5.474    -3.416    -0.681
  258.15   -1.00      5.476     6.158    -0.136
  258.15    0.00      5.476    18.212    -0.000
  258.15    1.00      5.476     1.933    -0.158
  258.15    2.00      5.474    -8.477    -0.730
  258.15    3.00      5.471   -11.174    -1.678
  258.15    4.00      5.466    -1.167    -2.337
  258.15    5.00      5.460    -2.251    -2.964
  258.15    6.00      5.453     2.152    -2.763
  258.15    7.00      5.445     4.951    -2.363
  258.15    8.00      5.435     5.152    -1.633
  258.15    9.00      5.424     3.261    -0.873
  258.15   10.00      5.412     4.338    -0.088
  258.15   11.00      5.398     5.046     0.565
  258.15   12.00      5.383     2.162     0.812
  258.15   13.00      5.367     3.533     0.560
  258.15   14.00      5.349     0.978     0.378
  258.15   15.00      5.330    -3.395     0.427
  258.15   16.00      5.310    -0.078     0.708
  258.15   17.00      5.288    -1.056     1.382
  258.15   18.00      5.265     0.133     1.593
  258.15   19.00      5.241    -0.352     1.427
  258.15   20.00      5.215    -0.550     1.314
  258.15   21.00      5.187    -1.147     1.572
  258.15   22.00      5.159    -2.250     2.145
  258.15   23.00      5.129    -2.023     2.789
  258.15   24.00      5.097    -1.969     3.059
  258.15   25.00      5.064    -1.904     2.497
  258.15   26.00      5.029    -1.872     1.688
  258.15   27.00      4.994     1.496     1.250
  258.15   28.00      4.956     1.588     1.723
  258.15   29.00      4.917     1.935     2.816
  258.15   30.00      4.877     4.652     3.710
  258.15   31.00      4.835     0.437     4.278
  258.15   32.00      4.791    -3.638     4.362
  258.15   33.00      4.747    -5.226     3.628
  258.15   34.00      4.700    -7.044     2.154
  258.15   35.00      4.652    -5.928     0.290
  258.15   36.00      4.603    -6.356    -2.221
  258.15   37.00      4.552    -6.733    -6.037
  258.15   38.00      4.499    -4.931   -10.263
  258.15   39.00      4.445     0.316   -13.928
  258.15   40.00      4.389     7.191   -15.939
  258.15   41.00      4.332    12.526   -14.712
  258.15   42.00      4.274    15.753   -11.541
  258.15   43.00      4.213     9.105    -9.673
  258.15   44.00      4.152     1.164    -9.146
  258.15   45.00      4.088    -5.115    -8.342
  258.15   46.00      4.024    -1.389    -7.270
  258.15   47.00      3.957    -6.399    -4.916
  258.15   48.00      3.889    -3.099    -3.315
  258.15   49.00      3.820    -5.606    -2.534
  258.15   50.00      3.749    -4.977    -1.865
  258.15   51.00      3.677    -5.251    -0.154
  258.15   52.00      3.604    -4.237     0.960
  258.15   53.00      3.529    -1.658     0.377
  258.15   54.00      3.452     1.934    -1.606
  258.15   55.00      3.374     5.094    -3.514
  258.15   56.00      3.295     7.284    -4.100
  258.15   57.00      3.214     3.861    -4.004
  258.15   58.00      3.132    -2.364    -3.644
  258.15   59.00      3.049    -1.554    -2.299
  258.15   60.00      2.964     1.386     0.371
  258.15   61.00      2.878     5.713     3.343
  258.15   62.00      2.791     9.913     5.090
  258.15   63.00      2.703     4.464     4.808
  258.15   64.00      2.614    -4.165     1.750
  258.15   65.00      2.523    -1.809    -2.868
  258.15   66.00      2.431    -3.193    -6.742
  258.15   67.00      2.338    -4.795    -9.510
  258.15   68.00      2.245    -2.766   -10.323
  258.15   69.00      2.150    -3.713    -7.661
  258.15   70.00      2.054    -4.100    -3.627
  258.15   71.00      1.957    -5.930     0.197
  258.15   72.00      1.859    -5.034     3.683
  258.15   73.00      1.761    -0.107     6.594
  258.15   74.00      1.662     4.270     7.941
  258.15   75.00      1.562    11.066     7.699
  258.15   76.00      1.461    13.625     6.821
  258.15   77.00      1.359    -0.996     6.008
  258.15   78.00      1.257    -7.669     4.732
  258.15   79.00      1.155    -3.850     3.912
  258.15   80.00      1.051    -6.841     4.743
  258.15   81.00      0.948    -5.944     5.289
  258.15   82.00      0.843    -1.886     4.709
  258.15   83.00      0.739     1.178     3.227
  258.15   84.00      0.634     6.587     2.905
  258.15   85.00      0.529    13.418     4.796
  258.15   86.00      0.423    11.798     8.444
  258.15   87.00      0.318    12.550    11.367
  258.15   88.00      0.212     6.216    17.930
  258.15   89.00      0.106    -0.119    16.328
  258.15   90.00      0.000    -0.119     0.139

Pressure level 225.4481 mbar
pressure latitude     beta      betay     betaz
  225.45  -90.00      0.000     1.417    -0.203
  225.45  -89.00      0.106     1.417    -5.898
  225.45  -88.00      0.212     3.296    -2.695
  225.45  -87.00      0.318     3.226     1.285
  225.45  -86.00      0.423     3.157     2.857
  225.45  -85.00      0.529     1.693     3.367
  225.45  -84.00      0.634     2.687     1.988
  225.45  -83.00      0.739    -3.937    -0.946
  225.45  -82.00      0.843    -3.827    -3.337
  225.45  -81.00      0.948    -2.633    -4.186
  225.45  -80.00      1.051    -3.894    -3.829
  225.45  -79.00      1.155    -3.274    -2.737
  225.45  -78.00      1.257    -3.234    -0.571
  225.45  -77.00      1.359    -2.831     1.204
  225.45  -76.00      1.461    -4.121     2.969
  225.45  -75.00      1.562    -5.410     4.665
  225.45  -74.00      1.662    -4.939     5.290
  225.45  -73.00      1.761    -0.532     4.149
  225.45  -72.00      1.859     4.201     3.784
  225.45  -71.00      1.957    12.486     4.041
  225.45  -70.00      2.054    14.939     4.535
  225.45  -69.00      2.150     1.778     4.839
  225.45  -68.00      2.244    -3.367     4.298
  225.45  -67.00      2.338    -2.133     2.942
  225.45  -66.00      2.431    -5.758     1.249
  225.45  -65.00      2.523    -3.853    -0.439
  225.45  -64.00      2.613    -4.133    -1.496
  225.45  -63.00      2.703    -2.905    -1.464
  225.45  -62.00      2.791    -1.970    -0.687
  225.45  -61.00      2.878    -4.758    -0.069
  225.45  -60.00      2.964    -7.410     0.388
  225.45  -59.00      3.049    -6.337     1.333
  225.45  -58.00      3.132    -4.523     2.630
  225.45  -57.00      3.214     4.593     3.683
  225.45  -56.00      3.295    18.553     4.091
  225.45  -55.00      3.374    13.352     3.891
  225.45  -54.00      3.452     5.103     3.754
  225.45  -53.00      3.528     4.761     3.904
  225.45  -52.00      3.603    -0.181     4.076
  225.45  -51.00      3.677    -3.863     4.605
  225.45  -50.00      3.749    -5.678     5.120
  225.45  -49.00      3.820    -7.112     4.636
  225.45  -48.00      3.889    -7.510     3.207
  225.45  -47.00      3.957    -7.085     1.094
  225.45  -46.00      4.023    -3.947    -0.810
  225.45  -45.00      4.088     1.759    -1.939
  225.45  -44.00      4.151     8.153    -2.826
  225.45  -43.00      4.213    12.986    -3.444
  225.45  -42.00      4.273    12.666    -3.192
  225.45  -41.00      4.332     5.311    -1.827
  225.45  -40.00      4.389    -3.068     0.494
  225.45  -39.00      4.445    -2.759     2.444
  225.45  -38.00      4.499    -5.090     2.653
  225.45  -37.00      4.551    -4.667     1.521
  225.45  -36.00      4.602    -5.396     0.810
  225.45  -35.00      4.652    -5.398     1.359
  225.45  -34.00      4.700    -5.518     2.611
  225.45  -33.00      4.746    -3.497     3.446
  225.45  -32.00      4.791    -1.066     3.504
  225.45  -31.00      4.834     1.901     2.751
  225.45  -30.00      4.876     3.486     1.344
  225.45  -29.00      4.917     1.886    -0.298
  225.45  -28.00      4.956     4.091    -1.696
  225.45  -27.00      4.993     1.818    -2.131
  225.45  -26.00      5.029    -4.308    -1.620
  225.45  -25.00      5.064    -4.954    -1.163
  225.45  -24.00      5.097    -2.690    -1.126
  225.45  -23.00      5.128    -1.329    -1.227
  225.45  -22.00      5.158    -0.520    -1.401
  225.45  -21.00      5.187    -1.648    -1.579
  225.45  -20.00      5.214    -1.341    -1.883
  225.45  -19.00      5.240    -1.622    -2.261
  225.45  -18.00      5.265     0.721    -2.546
  225.45  -17.00      5.288     0.778    -2.368
  225.45  -16.00      5.310     2.524    -1.639
  225.45  -15.00      5.330    -0.267    -0.888
  225.45  -14.00      5.349     0.256    -0.641
  225.45  -13.00      5.367    -0.026    -0.756
  225.45  -12.00      5.383     1.961    -0.968
  225.45  -11.00      5.398     3.810    -1.221
  225.45  -10.00      5.411     4.480    -1.585
  225.45   -9.00      5.424     4.371    -2.124
  225.45   -8.00      5.435     4.430    -2.794
  225.45   -7.00      5.444     2.644    -3.197
  225.45   -6.00      5.453     1.198    -3.187
  225.45   -5.00      5.460    -5.441    -2.823
  225.45   -4.00      5.466    -8.151    -1.941
  225.45   -3.00      5.470    -7.576    -1.043
  225.45   -2.00      5.473    -2.480    -0.399
  225.45   -1.00      5.475     9.331    -0.076
  225.45    0.00      5.476    18.712    -0.000
  225.45    1.00      5.475     1.974    -0.110
  225.45    2.00      5.473    -8.049    -0.540
  225.45    3.00      5.470   -13.499    -1.357
  225.45    4.00      5.466    -2.137    -2.074
  225.45    5.00      5.460    -2.676    -2.867
  225.45    6.00      5.453     1.307    -3.001
  225.45    7.00      5.444     4.558    -2.796
  225.45    8.00      5.435     4.934    -2.128
  225.45    9.00      5.424     3.193    -1.309
  225.45   10.00      5.411     4.648    -0.469
  225.45   11.00      5.398     5.399     0.118
  225.45   12.00      5.383     2.581     0.344
  225.45   13.00      5.367     3.898     0.335
  225.45   14.00      5.349     1.415     0.523
  225.45   15.00      5.330    -2.969     1.061
  225.45   16.00      5.310     0.135     1.829
  225.45   17.00      5.288    -0.813     2.809
  225.45   18.00      5.265     0.105     3.112
  225.45   19.00      5.240    -0.476     2.677
  225.45   20.00      5.214    -0.711     2.014
  225.45   21.00      5.187    -1.268     1.703
  225.45   22.00      5.158    -2.278     1.848
  225.45   23.00      5.128    -1.979     2.308
  225.45   24.00      5.097    -1.905     2.713
  225.45   25.00      5.064    -1.871     2.428
  225.45   26.00      5.029    -1.895     1.513
  225.45   27.00      4.993     1.364     0.490
  225.45   28.00      4.956     1.459     0.244
  225.45   29.00      4.917     1.803     0.862
  225.45   30.00      4.876     4.543     1.810
  225.45   31.00      4.834     0.472     2.895
  225.45   32.00      4.791    -3.544     3.793
  225.45   33.00      4.746    -5.102     4.289
  225.45   34.00      4.700    -6.912     4.474
  225.45   35.00      4.652    -5.828     4.289
  225.45   36.00      4.602    -6.264     3.026
